"ensembl" "SUM149_JQ1_12H_R2" "SUM149_JQ1_12H_R1" "SUM149_DMSO_12H_R2" "SUM149_DMSO_12H_R1"
"ENSG00000117148" 55 49 132 196
"ENSG00000284653" 1 2 0 0
"ENSG00000261781" 0 0 0 0
"ENSG00000117154" 2 0 0 0
"ENSG00000280222" 2 0 0 0
"ENSG00000230035" 0 0 0 0
"ENSG00000225387" 0 0 0 0
"ENSG00000179023" 2 3 1 2
"ENSG00000235282" 0 0 0 1
"ENSG00000225478" 0 1 0 0
"ENSG00000009709" 2 3 0 0
"ENSG00000179002" 0 1 0 0
"ENSG00000255275" 0 0 0 1
"ENSG00000159423" 334 286 85 128
"ENSG00000265606" 0 0 0 0
"ENSG00000221662" 0 0 0 0
"ENSG00000169991" 1500 1466 1256 1886
"ENSG00000272084" 58 48 8 20
"ENSG00000127481" 30534 31504 18047 25692
"ENSG00000230424" 54 52 7 13
"ENSG00000127463" 5216 5021 5190 7669
"ENSG00000053372" 2542 2273 3549 5043
"ENSG00000211454" 38 36 29 43
"ENSG00000162482" 48 38 26 35
"ENSG00000270728" 71 75 43 59
"ENSG00000053371" 3783 3456 1781 2627
"ENSG00000200403" 7 6 4 4
"ENSG00000040487" 1801 1660 1174 1731
"ENSG00000077549" 7882 7163 6638 9702
"ENSG00000240490" 1 2 0 1
"ENSG00000201609" 0 0 0 0
"ENSG00000235185" 1 0 1 1
"ENSG00000173436" 458 390 447 632
"ENSG00000158747" 1869 1783 2521 4050
"ENSG00000270136" 0 0 0 0
"ENSG00000226396" 21 17 13 20
"ENSG00000158748" 3 7 1 2
"ENSG00000162542" 147 154 704 1051
"ENSG00000178828" 2 1 0 0
"ENSG00000235434" 0 0 0 0
"ENSG00000169914" 1929 1959 1485 2032
"ENSG00000188784" 1 1 0 0
"ENSG00000242688" 1 2 0 0
"ENSG00000188257" 1 1 0 0
"ENSG00000127472" 1 1 0 0
"ENSG00000117215" 4 1 0 0
"ENSG00000158786" 8 4 2 3
"ENSG00000227066" 2 0 1 5
"ENSG00000187980" 1 2 0 0
"ENSG00000225986" 1 0 0 0
"ENSG00000162543" 3 5 6 8
"ENSG00000228105" 3 0 0 0
"ENSG00000284710" 0 2 0 0
"ENSG00000158816" 4 3 2 0
"ENSG00000226664" 0 0 0 0
"ENSG00000236963" 4 4 0 0
"ENSG00000226487" 0 0 0 0
"ENSG00000284641" 1 1 0 0
"ENSG00000284743" 0 0 0 0
"ENSG00000162545" 1772 1911 3611 5400
"ENSG00000090432" 4684 4447 2792 4117
"ENSG00000215520" 1 3 1 0
"ENSG00000183114" 4 0 0 1
"ENSG00000158825" 2541 2379 1715 2544
"ENSG00000158828" 2180 2069 884 1396
"ENSG00000284005" 0 0 0 0
"ENSG00000117242" 229 205 130 220
"ENSG00000244038" 12653 11950 11178 16725
"ENSG00000117245" 14 10 8 25
"ENSG00000235432" 2 0 0 0
"ENSG00000189410" 53 68 239 399
"ENSG00000233069" 1 1 2 0
"ENSG00000127483" 11571 11720 7301 10363
"ENSG00000075151" 8324 7979 6855 9811
"ENSG00000251914" 0 0 0 0
"ENSG00000221808" 0 0 0 0
"ENSG00000233072" 0 0 2 1
"ENSG00000236073" 5 2 0 1
"ENSG00000235112" 1 0 0 1
"ENSG00000117298" 6327 5806 3626 5387
"ENSG00000236936" 0 1 0 0
"ENSG00000231105" 22 22 11 16
"ENSG00000236216" 2 1 4 4
"ENSG00000228823" 0 0 0 0
"ENSG00000236009" 0 0 0 0
"ENSG00000227001" 4 11 0 9
"ENSG00000187952" 11 3 7 13
"ENSG00000186543" 7 8 7 10
"ENSG00000142794" 792 811 533 817
"ENSG00000176378" 1 1 0 0
"ENSG00000162551" 9 3 1 2
"ENSG00000233431" 0 0 0 0
